host_label,ctx_size,model,task_suite,config,repeats,wall_mean_sec,wall_ci95_sec,speedup_vs_q4_pct,quality_mean,quality_ci95,quality_delta_vs_q4,json_valid_mean,plan_valid_mean,tool_use_mean,correctness_mean,rss_max_mb,thermal_max_c,throttled_or,rapl_joules_mean,rapl_watts_avg,battery_joules_mean,battery_power_w_avg,energy_joules_mean,power_w_avg
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,f16/f16,1,1008.6479425579964,0.0,2.6938348436169477,0.8125,0.0,0.03749999999999998,1.0,1.0,1.0,0.7291666666666667,6818.78125,78.2,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q4_0/q4_0,1,1036.5714658849975,0.0,0.0,0.775,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,7343.765625,77.1,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q8_0/q8_0,1,977.822048060003,0.0,5.667666895966092,0.8125,0.0,0.03749999999999998,1.0,1.0,1.0,0.7291666666666667,7367.75,77.65,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,q8_0/tbq4,1,951.9167433130024,0.0,8.16680039515839,0.8291666666666666,0.0,0.054166666666666585,1.0,1.0,1.0,0.8125,7441.328125,77.65,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_gemma4k,4096,gemma4_e4b,agentic_impact,tbq4/tbq4,1,976.3122044939955,0.0,5.813324346098429,0.8291666666666667,0.0,0.054166666666666696,1.0,1.0,1.0,0.8125,7456.921875,77.65,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,f16/f16,1,1617.972934442998,0.0,-16.73235528340337,0.7958333333333332,0.0,-1.1102230246251565e-16,1.0,1.0,1.0,0.6458333333333333,7152.59375,76.55,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q4_0/q4_0,1,1386.053532900005,0.0,0.0,0.7958333333333333,0.0,0.0,1.0,1.0,1.0,0.6458333333333333,7045.171875,77.1,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/q8_0,1,1406.3624617479982,0.0,-1.4652340884338984,0.7604166666666665,0.0,-0.03541666666666676,1.0,1.0,1.0,0.46875,6985.84375,77.1,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,q8_0/tbq4,1,1333.212337495992,0.0,3.8123488126360225,0.79375,0.0,-0.002083333333333326,1.0,1.0,1.0,0.6979166666666666,7056.234375,77.1,0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry_pi5_8gb_agentic_qwen8k,8192,qwen35_4b,agentic_impact,tbq4/tbq4,1,1400.7398479500043,0.0,-1.0595777653170138,0.7687499999999999,0.0,-0.027083333333333348,1.0,1.0,1.0,0.59375,7045.15625,77.1,0,0.0,0.0,0.0,0.0,0.0,0.0
x86_i5_12500_agentic_8k,8192,gemma4_e4b,agentic_impact,f16/f16,1,327.81282082782127,0.0,5.0120319582826935,0.8125,0.0,0.012499999999999956,1.0,1.0,1.0,0.7291666666666667,8610.58984375,90.0,0,21436.718132,64.95837401625533,0.0,0.0,21436.718132,64.95837401625533
x86_i5_12500_agentic_8k,8192,gemma4_e4b,agentic_impact,q4_0/q4_0,1,345.1098361045588,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,0.75,7662.7890625,90.0,0,22626.203552,65.04511536895625,0.0,0.0,22626.203552,65.04511536895625
x86_i5_12500_agentic_8k,8192,gemma4_e4b,agentic_impact,q8_0/q8_0,1,327.213341955794,0.0,5.185738647953984,0.8125,0.0,0.012499999999999956,1.0,1.0,1.0,0.7291666666666667,7995.62109375,90.0,0,21418.03599,64.96653095364202,0.0,0.0,21418.03599,64.96653095364202
x86_i5_12500_agentic_8k,8192,gemma4_e4b,agentic_impact,q8_0/tbq4,1,342.6294685062021,0.0,0.7187183148280931,0.8083333333333333,0.0,0.008333333333333304,1.0,1.0,1.0,0.7708333333333334,7818.625,90.0,0,22339.724426,64.73762513785624,0.0,0.0,22339.724426,64.73762513785624
x86_i5_12500_agentic_8k,8192,gemma4_e4b,agentic_impact,tbq4/tbq4,1,331.9681407606695,0.0,3.8079747283435075,0.8395833333333333,0.0,0.039583333333333304,1.0,1.0,1.0,0.8020833333333333,7647.06640625,88.0,0,21666.618117,64.85380361013344,0.0,0.0,21666.618117,64.85380361013344
x86_i5_12500_agentic_8k,8192,qwen35_4b,agentic_impact,f16/f16,1,450.0274106413126,0.0,1.9104692496654474,0.8395833333333332,0.0,0.02083333333333326,1.0,1.0,1.0,0.7395833333333333,7480.62890625,90.0,0,29316.630759,64.83527417448857,0.0,0.0,29316.630759,64.83527417448857
x86_i5_12500_agentic_8k,8192,qwen35_4b,agentic_impact,q4_0/q4_0,1,458.7925002789125,0.0,0.0,0.81875,0.0,0.0,1.0,1.0,1.0,0.6354166666666666,7029.59375,91.0,0,29849.053652,64.85555036987479,0.0,0.0,29849.053652,64.85555036987479
x86_i5_12500_agentic_8k,8192,qwen35_4b,agentic_impact,q8_0/q8_0,1,451.6712454028893,0.0,1.5521733401688025,0.7999999999999999,0.0,-0.018750000000000044,1.0,1.0,1.0,0.5416666666666666,7200.42578125,91.0,0,29419.144901,64.90094685361146,0.0,0.0,29419.144901,64.90094685361146
x86_i5_12500_agentic_8k,8192,qwen35_4b,agentic_impact,q8_0/tbq4,1,424.22997940378264,0.0,7.533366577291117,0.7729166666666666,0.0,-0.04583333333333339,1.0,1.0,1.0,0.53125,6946.55859375,90.0,0,27700.252513,65.09053260788714,0.0,0.0,27700.252513,65.09053260788714
x86_i5_12500_agentic_8k,8192,qwen35_4b,agentic_impact,tbq4/tbq4,1,439.83304098108783,0.0,4.132469315932296,0.8020833333333333,0.0,-0.01666666666666672,1.0,1.0,1.0,0.5520833333333333,6978.765625,91.0,0,28689.602335,64.89979264967107,0.0,0.0,28689.602335,64.89979264967107
